% f (Hz),Material Switch 2 index,Time (s),Coil current A (A),Coil current B (A),Coil current C (A),Coil voltage A (V),Coil voltage B (V),Coil voltage C (V),Axial torque (N*m),Rotor Losses (W),Stator Losses (W),Coil Losses (W)
50,1,0.0023214126368957485,2.355877722438564,1.1051248955970432,-3.4610026180356055,576.057791224995,-506.5481719767903,-98.61798045944008,2.766071564821086,1.3439844801781538,11.506734116661002,574.8831575401063
50,1,0.002349190414673526,2.378793390230227,1.0757758159638413,-3.454569206194069,586.3871596166223,-501.67134491416914,-96.40346900206829,2.8086937010174036,1.344184298937093,11.5066760424007,574.8831575401066
50,1,0.0023769681924513037,2.4015279036953516,1.0463448118372214,-3.4478727155325712,601.7836506399454,-506.08805316722817,-87.72912552690538,2.8821316867734716,1.3442823241670432,11.508169850542961,574.8831575401064
50,1,0.0024047459702290813,2.424079531512716,1.0168341245020882,-3.440913656014805,594.6749819412931,-519.9112287279582,-82.76954563986969,2.9687120102074633,1.3442330872254407,11.510534027417751,574.8831575401064
50,1,0.002432523748006859,2.4464465562885502,0.9872460013115426,-3.433692557600093,561.0333399593723,-517.2916029936539,-79.68955854184193,3.026677860883962,1.3440355095046383,11.512224035814748,574.8831575401064
50,1,0.0024603015257846366,2.4686272746873206,0.9575826955157188,-3.426209970203039,535.1188686797808,-517.913272624876,-75.30186102354823,3.069569643169279,1.343999956619376,11.512148143062122,574.8831575401063
50,1,0.002488079303562414,2.490619997561444,0.9278464660901993,-3.418466463651643,511.72312636197694,-526.4268560363126,-63.7378845082881,3.080768051134619,1.3440342954308262,11.50865666872797,574.8831575401061
50,1,0.0025158570813401918,2.5124230500799256,0.8980395775639833,-3.4104626276439087,498.6325552390633,-519.0836745907106,-70.03934413993491,3.0022447568295862,1.3440310021896908,11.506722679125831,574.8831575401065
50,1,0.0025436348591179694,2.5340347718559024,0.8681642998470342,-3.402199071702936,494.5760418818037,-516.0085782927108,-66.19709493050138,2.9152482117485863,1.3443595633161094,11.5055786346391,574.8831575401064
50,1,0.002571412636895747,2.555453517073088,0.8382229080574171,-3.393676425130504,505.8807884781543,-517.3735537085703,-61.878767341539515,2.849209083688358,1.345082394214925,11.505933243004591,574.8831575401061
50,1,0.0025991904146735246,2.5766776546111076,0.8082176823480378,-3.384895336959146,545.4289738436232,-514.0095558474726,-68.98036798102987,2.849287278230062,1.3454899727284588,11.51344374301839,574.883157540106
50,1,0.002626968192451302,2.5977055681697157,0.7781509077330089,-3.375856475902723,585.8513477884926,-519.4534217249457,-60.84092678660238,2.9141536599098163,1.3458357238351335,11.525157758651646,574.8831575401066
50,1,0.00265474597022908,2.618535656391882,0.7480248739136193,-3.3665605303055015,559.4872722806134,-527.1831943004969,-50.744124536714956,3.0006395316648757,1.3463217360983184,11.532282475170579,574.8831575401063
50,1,0.0026825237480068574,2.63916633298574,0.7178418751039866,-3.3570082080897268,528.2983849489207,-526.9966149363681,-53.376504876664,3.0817604878542344,1.3464013493268558,11.536357440288912,574.8831575401059
50,1,0.002710301525784635,2.659596026845394,0.687604209856327,-3.3472002367017213,496.4830242448941,-528.7453462402657,-48.864309427371076,3.1587182926611503,1.3467192301664683,11.536567543794922,574.8831575401061
50,1,0.0027380793035624127,2.679823182170559,0.6573141808859188,-3.337137363056477,467.26135019344315,-535.4645921906313,-40.03085660449794,3.2127569026250935,1.3471735435293675,11.531427995513763,574.8831575401061
50,1,0.0027658570813401903,2.699846258585044,0.6269740948957409,-3.326820353480784,436.9153590444399,-530.4424734099156,-39.76743265939759,3.2437514542562753,1.347462854523963,11.523535358235891,574.883157540106
50,1,0.002793634859117968,2.7196637312540584,0.5965862624008076,-3.3162499936548655,432.4546391094626,-535.6776740726696,-35.61544129060684,3.2318489236064023,1.3478247341573717,11.514549948603474,574.8831575401061
50,1,0.0028214126368957455,2.739274091000331,0.566152997552215,-3.305427088552545,482.9331690797283,-536.9462243654528,-28.77202558541866,3.196720629496007,1.3482158522120642,11.511442705879766,574.8831575401061
50,1,0.002849190414673523,2.7586758444190433,0.5356766179609084,-3.294352462379951,560.4888761542695,-518.3368479460754,-28.09804299027428,3.2057217935829896,1.3487634187252395,11.519335621406285,574.8831575401061
50,1,0.0028769681924513007,2.7778675139915556,0.5051594445211876,-3.2830269585127416,535.4480096572978,-527.9273408741296,-30.19767294359545,3.2158472785577357,1.349306560232616,11.524561779747243,574.883157540106
